PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34274159","Simultaneous intraocular and orbital involvement of NK/T-cell lymphoma","Kecik M, Prod'hom S, Giannotti F, Thumann G, Malclès A.","J Fr Ophtalmol. 2021 Dec;44(10):e595-e596. doi: 10.1016/j.jfo.2021.01.023. Epub 2021 Jul 14.","Kecik M","J Fr Ophtalmol","2021","2021/07/18","","","10.1016/j.jfo.2021.01.023"
"33363602","NK/T-cell non-Hodgkin lymphoma: Case report and review of the literature","Lungu M, Telehuz A, Voinescu DC, Sapira V, Trifan A, Elkan EM, Fătu A, Creangă VZ, Polinschi M, Stoleriu G, Niculet E.","Exp Ther Med. 2021 Jan;21(1):91. doi: 10.3892/etm.2020.9523. Epub 2020 Nov 26.","Lungu M","Exp Ther Med","2021","2020/12/28","PMC7725024","","10.3892/etm.2020.9523"
"22991988","Nasopharyngeal/nasal type NK/T lymphoma: analysis of 23 cases and current review of the literature","Youssef YB, Bougmiza I, Bouabid Z, Achour B, Regaieg H, Sriha B, Belkadhi M, Omri HE, Khelif A.","Kulak Burun Bogaz Ihtis Derg. 2012 Sep-Oct;22(5):275-83. doi: 10.5606/kbbihtisas.2012.053.","Youssef YB","Kulak Burun Bogaz Ihtis Derg","2012","2012/09/21","","","10.5606/kbbihtisas.2012.053"
"31371036","[Extra-nodal NK/T-cell lymphoma, nasal-type, revealed by cutaneous and ocular involvement]","Marzouki-Zerouali A, Charbit L, Mitcov M, Violon F, Schmutz JL, Moawad S, Bursztejn AC.","Ann Dermatol Venereol. 2019 Oct;146(10):626-633. doi: 10.1016/j.annder.2019.01.027. Epub 2019 Jul 29.","Marzouki-Zerouali A","Ann Dermatol Venereol","2019","2019/08/03","","","10.1016/j.annder.2019.01.027"
"30918537","[Extra-nodal NK/T-cell lymphoma, nasal type presenting as orbital cellulitis]","Amri GE, Zalagh M, Benariba F.","Pan Afr Med J. 2018 Sep 4;31:8. doi: 10.11604/pamj.2018.31.8.16221. eCollection 2018.","Amri GE","Pan Afr Med J","2018","2019/03/29","PMC6430940","","10.11604/pamj.2018.31.8.16221"
"32562035","Differential diagnosis of sinonasal extranodal NK/T cell lymphoma and diffuse large B cell lymphoma on MRI","Chen Y, Wang X, Li L, Li W, Xian J.","Neuroradiology. 2020 Sep;62(9):1149-1155. doi: 10.1007/s00234-020-02471-3. Epub 2020 Jun 19.","Chen Y","Neuroradiology","2020","2020/06/21","PMC7410867","","10.1007/s00234-020-02471-3"
"28851203","[The progress in the diagnosis and management of orbital lymphoma]","Shi YY, Jia RB, Fan XQ.","Zhonghua Yan Ke Za Zhi. 2017 Aug 11;53(8):632-636. doi: 10.3760/cma.j.issn.0412-4081.2017.08.017.","Shi YY","Zhonghua Yan Ke Za Zhi","2017","2017/08/31","","","10.3760/cma.j.issn.0412-4081.2017.08.017"
"24398482","Orbital and central nervous system extension of nasal natural killer/T-cell lymphoma","Cruz AA, Valera FC, Carenzi L, Chahud F, Barros GE, Elias J Jr.","Ophthalmic Plast Reconstr Surg. 2014 Jan-Feb;30(1):20-3. doi: 10.1097/IOP.0b013e3182a7500e.","Cruz AA","Ophthalmic Plast Reconstr Surg","2014","2014/01/09","","","10.1097/IOP.0b013e3182a7500e"
"17524998","Nasal NK/T-cell lymphoma: computed tomography and magnetic resonance imaging findings","Ou CH, Chen CC, Ling JC, Chai JW, Wu CH, Chen WH, Hung HC, Tain-Lee, Ho TL.","J Chin Med Assoc. 2007 May;70(5):207-12. doi: 10.1016/S1726-4901(09)70359-4.","Ou CH","J Chin Med Assoc","2007","2007/05/26","","","10.1016/S1726-4901(09)70359-4"
"17064952","Extranodal NK/T-cell lymphoma, nasal type","Al-Hakeem DA, Fedele S, Carlos R, Porter S.","Oral Oncol. 2007 Jan;43(1):4-14. doi: 10.1016/j.oraloncology.2006.03.011. Epub 2006 Oct 24.","Al-Hakeem DA","Oral Oncol","2007","2006/10/27","","","10.1016/j.oraloncology.2006.03.011"
"29747315","[Value of PET/CT in the prognosis of extranodal NK/T cell lymphoma]","Dong GH, Li Y, Wan HF, He CY, Yang L, Wang JW, Gong LP, Zhao YH, Gao ZF, Liu HG.","Zhonghua Yi Xue Za Zhi. 2018 Apr 24;98(16):1256-1260. doi: 10.3760/cma.j.issn.0376-2491.2018.16.014.","Dong GH","Zhonghua Yi Xue Za Zhi","2018","2018/05/11","","","10.3760/cma.j.issn.0376-2491.2018.16.014"
"30852512","Extranodal NK/T cell lymphoma, nasal type, with retrobulbar extraconal phlegmon and naso-oral fistula","Wong DJY, Parry LA, Bloch AE, Agar N.","BMJ Case Rep. 2019 Mar 9;12(3):e227160. doi: 10.1136/bcr-2018-227160.","Wong DJY","BMJ Case Rep","2019","2019/03/11","PMC6424191","","10.1136/bcr-2018-227160"
"22681504","Orbital involvement in extranodal natural killer T cell lymphoma: an atypical case presentation and review of the literature","Ely A, Evans J, Sundstrom JM, Malysz J, Specht CS, Wilkinson M.","Orbit. 2012 Aug;31(4):267-9. doi: 10.3109/01676830.2011.605506. Epub 2012 Jun 8.","Ely A","Orbit","2012","2012/06/12","","","10.3109/01676830.2011.605506"
"22321911","Extranodal NK/T-cell lymphoma, nasal type: report of 15 cases","Tababi S, Kharrat S, Sellami M, Mamy J, Zainine R, Beltaief N, Sahtout S, Besbes G.","Eur Ann Otorhinolaryngol Head Neck Dis. 2012 Jun;129(3):141-7. doi: 10.1016/j.anorl.2011.08.004. Epub 2012 Feb 7.","Tababi S","Eur Ann Otorhinolaryngol Head Neck Dis","2012","2012/02/11","","","10.1016/j.anorl.2011.08.004"
"23387455","CD56 negative extranodal NK/T-cell lymphoma of the orbit mimicking orbital cellulitis","Pine RR, Clark JD, Sokol JA.","Orbit. 2013 Feb;32(1):45-8. doi: 10.3109/01676830.2012.736603.","Pine RR","Orbit","2013","2013/02/08","","","10.3109/01676830.2012.736603"
"21655170","NK/T-cell lymphoma in a renal transplant recipient and review of literature","Mohapatra A, Viswabandya A, Samuel R, Deepti AN, Madhivanan S, John GT.","Indian J Nephrol. 2011 Jan;21(1):44-7. doi: 10.4103/0971-4065.78078.","Mohapatra A","Indian J Nephrol","2011","2011/06/10","PMC3109783","","10.4103/0971-4065.78078"
