PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33975510","Natural killer T-cell lymphoma causing bilateral recurrent recalcitrant dacryocystitis","Mechel E, Tran AQ, North VS, Moen FM, Tooley AA.","Orbit. 2021 May 11:1-5. doi: 10.1080/01676830.2021.1925931. Online ahead of print.","Mechel E","Orbit","2021","2021/05/12","","","10.1080/01676830.2021.1925931"
"30516405","Recurrent natural killer/T-cell lymphoma of the lacrimal sac and nasolacrimal duct in a 59-year-old Caucasian woman","Jones DL, van Landingham SW, Yu JJ, Lucarelli MJ.","Orbit. 2019 Oct;38(5):428-431. doi: 10.1080/01676830.2018.1546750. Epub 2018 Dec 5.","Jones DL","Orbit","2019","2018/12/06","","","10.1080/01676830.2018.1546750"
"31137150","[Ocular natural killer/T cell lymphoma: a clinicopathologic analysis]","Bi YW, Wang SY, Qian J, Yuan YF, Li XQ, Zhu XZ.","Zhonghua Yan Ke Za Zhi. 2019 May 11;55(5):374-380. doi: 10.3760/cma.j.issn.0412-4081.2019.05.012.","Bi YW","Zhonghua Yan Ke Za Zhi","2019","2019/05/29","","","10.3760/cma.j.issn.0412-4081.2019.05.012"
"16360212","Natural killer/T-cell lymphoma with ocular and adnexal involvement","Woog JJ, Kim YD, Yeatts RP, Kim S, Esmaeli B, Kikkawa D, Lee HB, Korn BS, Punja K, Habermann TM, Colgan JP, Salomao D, Cameron JD.","Ophthalmology. 2006 Jan;113(1):140-7. doi: 10.1016/j.ophtha.2005.09.036. Epub 2005 Dec 19.","Woog JJ","Ophthalmology","2006","2005/12/20","","","10.1016/j.ophtha.2005.09.036"
"11732873","Primary natural killer cell lymphoma of the lacrimal sac","Mori T, Tokuhira M, Mori S, Sato N, Miura I, Adachi A, Kuroda H, Tamaru J, Itoyama S, Suzuki H, Abe T, Takeuchi T.","Ann Hematol. 2001 Oct;80(10):607-10. doi: 10.1007/s002770100368.","Mori T","Ann Hematol","2001","2001/12/06","","","10.1007/s002770100368"
"28328558","Dacryoadenitis as the Initial Presentation of a Natural Killer T-Cell Lymphoma","Jiménez-Pérez JC, Jakobiec FA, Zakka FR, Yoon MK.","Ophthalmic Plast Reconstr Surg. 2017 Nov/Dec;33(6):e147-e150. doi: 10.1097/IOP.0000000000000889.","Jiménez-Pérez JC","Ophthalmic Plast Reconstr Surg","2017","2017/03/23","","","10.1097/IOP.0000000000000889"
"34594326","NKp30 Receptor Upregulation in Salivary Glands of Sjögren's Syndrome Characterizes Ectopic Lymphoid Structures and Is Restricted by Rituximab Treatment","Pontarini E, Sciacca E, Grigoriadou S, Rivellese F, Lucchesi D, Fossati-Jimack L, Coleby R, Chowdhury F, Calcaterra F, Tappuni A, Lewis MJ, Fabris M, Quartuccio L, Bella SD, Bowman S, Pitzalis C, Mavilio D, De Vita S, Bombardieri M.","Front Immunol. 2021 Sep 14;12:706737. doi: 10.3389/fimmu.2021.706737. eCollection 2021.","Pontarini E","Front Immunol","2021","2021/10/01","PMC8477027","","10.3389/fimmu.2021.706737"
"35288498","Orbital Compartment Syndrome Following Incisional Biopsy of Orbital Natural Killer/T-Cell Lymphoma","Takahashi Y, Vaidya A, Kakizaki H.","J Craniofac Surg. 2022 Mar 14. doi: 10.1097/SCS.0000000000008581. Online ahead of print.","Takahashi Y","J Craniofac Surg","2022","2022/03/15","","","10.1097/SCS.0000000000008581"
"29944561","Combined External, Endoscopic, Endonasal-Assisted En Bloc Resection of Malignant Tumors From the Lacrimal Drainage System","Shi J, Tu Y, Wu W.","J Craniofac Surg. 2018 Oct;29(7):1855-1858. doi: 10.1097/SCS.0000000000004655.","Shi J","J Craniofac Surg","2018","2018/06/27","","","10.1097/SCS.0000000000004655"
"26080911","[Features of clinical presentation, pathology and magnetic resonance or computed tomography imaging for ocular lymphoma]","Guo P, Xian J, Chen G, Liang X, Yang B, Wang Z, Yan F.","Zhonghua Yi Xue Za Zhi. 2015 Mar 24;95(11):814-8.","Guo P","Zhonghua Yi Xue Za Zhi","2015","2015/06/18","","",""
"16137539","Primary lymphoma of nasolacrimal drainage system: a case report and literature review","Gao HW, Lee HS, Lin YS, Sheu LF.","Am J Otolaryngol. 2005 Sep-Oct;26(5):356-9. doi: 10.1016/j.amjoto.2005.02.011.","Gao HW","Am J Otolaryngol","2005","2005/09/03","","","10.1016/j.amjoto.2005.02.011"
"25026804","[Differential diagnosis of rheumatic diseases and blood cancers involving the nasal cavity and accessory sinuses]","Vasil'ev VI, Sokol EV, Sedyshev SKh, Gorodetskiĭ VR, Aleksandrova EN, Logvinenko OA, Pal'shina SG, Rodionova EB, Radenska-Lopovok SG, Probatova NA, Kokosadze NV, Pavlovskaia AI, Kovrigina AM, Varlamova EIu, Safonova TN, Borovskaia AB, Gaĭduk IV, Mukhortova OV, Aslanidi IP, Nasonov EL.","Ter Arkh. 2014;86(5):62-72.","Vasil'ev VI","Ter Arkh","2014","2014/07/17","","",""
"28146362","Epiphora as first presenting sign of primary extranodal NK/T-cell lymphoma of the lacrimal sac","Mikhail M, Michel RP, Chankowsky J, Arthurs B.","Orbit. 2017 Feb;36(1):19-21. doi: 10.1080/01676830.2017.1279649. Epub 2017 Feb 1.","Mikhail M","Orbit","2017","2017/02/02","","","10.1080/01676830.2017.1279649"
