PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32689856","Extranodal NK/T-cell lymphoma, nasal type, with extranasal presentation - a case report and a review of the literature","Akbar M, Clasen-Linde E, Specht L.","Acta Oncol. 2020 Dec;59(12):1480-1487. doi: 10.1080/0284186X.2020.1795250. Epub 2020 Jul 20.","Akbar M","Acta Oncol","2020","2020/07/22","","","10.1080/0284186X.2020.1795250"
"23387455","CD56 negative extranodal NK/T-cell lymphoma of the orbit mimicking orbital cellulitis","Pine RR, Clark JD, Sokol JA.","Orbit. 2013 Feb;32(1):45-8. doi: 10.3109/01676830.2012.736603.","Pine RR","Orbit","2013","2013/02/08","","","10.3109/01676830.2012.736603"
"23969921","Extranodal nasal NK/T-cell lymphoma: a rare oral presentation and FASN, CD44 and GLUT-1 expression","Pontes HA, Pontes FS, Silva BS, Fonseca FP, Andrade BA, Rizo VH, Romañach MJ, León JE, Almeida OP.","Braz Dent J. 2013;24(3):284-8. doi: 10.1590/0103-6440201302202.","Pontes HA","Braz Dent J","2013","2013/08/24","","","10.1590/0103-6440201302202"
"31267826","Lymphoproliferative tumors involving the lacrimal drainage system: a major review","Singh S, Ali MJ.","Orbit. 2020 Aug;39(4):276-284. doi: 10.1080/01676830.2019.1634104. Epub 2019 Jul 3.","Singh S","Orbit","2020","2019/07/04","","","10.1080/01676830.2019.1634104"
"29978138","A case of primary extranodal natural killer/T-cell lymphoma in the orbit and intraocular tissues with cerebrospinal fluid involvement","Okada A, Harada Y, Inoue T, Okikawa Y, Ichinohe T, Kiuchi Y.","Am J Ophthalmol Case Rep. 2018 May 17;11:37-40. doi: 10.1016/j.ajoc.2018.05.002. eCollection 2018 Sep.","Okada A","Am J Ophthalmol Case Rep","2018","2018/07/07","PMC6026719","","10.1016/j.ajoc.2018.05.002"
"31137150","[Ocular natural killer/T cell lymphoma: a clinicopathologic analysis]","Bi YW, Wang SY, Qian J, Yuan YF, Li XQ, Zhu XZ.","Zhonghua Yan Ke Za Zhi. 2019 May 11;55(5):374-380. doi: 10.3760/cma.j.issn.0412-4081.2019.05.012.","Bi YW","Zhonghua Yan Ke Za Zhi","2019","2019/05/29","","","10.3760/cma.j.issn.0412-4081.2019.05.012"
"34036312","Nattokinase Attenuates Retinal Neovascularization Via Modulation of Nrf2/HO-1 and Glial Activation","Huang Z, Ng TK, Chen W, Sun X, Huang D, Zheng D, Yi J, Xu Y, Zhuang X, Chen S.","Invest Ophthalmol Vis Sci. 2021 May 3;62(6):25. doi: 10.1167/iovs.62.6.25.","Huang Z","Invest Ophthalmol Vis Sci","2021","2021/05/26","PMC8164371","","10.1167/iovs.62.6.25"
"33975510","Natural killer T-cell lymphoma causing bilateral recurrent recalcitrant dacryocystitis","Mechel E, Tran AQ, North VS, Moen FM, Tooley AA.","Orbit. 2021 May 11:1-5. doi: 10.1080/01676830.2021.1925931. Online ahead of print.","Mechel E","Orbit","2021","2021/05/12","","","10.1080/01676830.2021.1925931"
"3319585","Cytotoxic mechanisms in autoimmune thyroid disorders and thyroid-associated ophthalmopathy","Hiromatsu Y, Fukazawa H, Wall JR.","Endocrinol Metab Clin North Am. 1987 Jun;16(2):269-86.","Hiromatsu Y","Endocrinol Metab Clin North Am","1987","1987/06/01","","",""
"12673566","Nasal-type NK/T cell lymphoma of the orbit with distant metastases","Kuwabara H, Tsuji M, Yoshii Y, Kakuno Y, Akioka T, Kotani T, Iwao N, Hanafusa T, Ikeda T, Mori H.","Hum Pathol. 2003 Mar;34(3):290-2. doi: 10.1053/hupa.2003.33.","Kuwabara H","Hum Pathol","2003","2003/04/04","","","10.1053/hupa.2003.33"
"16911982","Retinoblastoma: expression of HLA-G","Adithi M, Kandalam M, Ramkumar HL, Subramanian A, Venkatesan N, Krishnakumar S.","Ocul Immunol Inflamm. 2006 Aug;14(4):207-13. doi: 10.1080/09273940600826497.","Adithi M","Ocul Immunol Inflamm","2006","2006/08/17","","","10.1080/09273940600826497"
"28845014","[A case of nasal NK/T-cell lymphoma]","Zhan Y, Zhang G, Liu J, Luo S, Lu Q, Xiao R, Zhang G.","Zhong Nan Da Xue Xue Bao Yi Xue Ban. 2017 Jul 28;42(7):860-864. doi: 10.11817/j.issn.1672-7347.2017.07.020.","Zhan Y","Zhong Nan Da Xue Xue Bao Yi Xue Ban","2017","2017/08/29","","","10.11817/j.issn.1672-7347.2017.07.020"
"22321911","Extranodal NK/T-cell lymphoma, nasal type: report of 15 cases","Tababi S, Kharrat S, Sellami M, Mamy J, Zainine R, Beltaief N, Sahtout S, Besbes G.","Eur Ann Otorhinolaryngol Head Neck Dis. 2012 Jun;129(3):141-7. doi: 10.1016/j.anorl.2011.08.004. Epub 2012 Feb 7.","Tababi S","Eur Ann Otorhinolaryngol Head Neck Dis","2012","2012/02/11","","","10.1016/j.anorl.2011.08.004"
"28851203","[The progress in the diagnosis and management of orbital lymphoma]","Shi YY, Jia RB, Fan XQ.","Zhonghua Yan Ke Za Zhi. 2017 Aug 11;53(8):632-636. doi: 10.3760/cma.j.issn.0412-4081.2017.08.017.","Shi YY","Zhonghua Yan Ke Za Zhi","2017","2017/08/31","","","10.3760/cma.j.issn.0412-4081.2017.08.017"
"24398482","Orbital and central nervous system extension of nasal natural killer/T-cell lymphoma","Cruz AA, Valera FC, Carenzi L, Chahud F, Barros GE, Elias J Jr.","Ophthalmic Plast Reconstr Surg. 2014 Jan-Feb;30(1):20-3. doi: 10.1097/IOP.0b013e3182a7500e.","Cruz AA","Ophthalmic Plast Reconstr Surg","2014","2014/01/09","","","10.1097/IOP.0b013e3182a7500e"
"22681504","Orbital involvement in extranodal natural killer T cell lymphoma: an atypical case presentation and review of the literature","Ely A, Evans J, Sundstrom JM, Malysz J, Specht CS, Wilkinson M.","Orbit. 2012 Aug;31(4):267-9. doi: 10.3109/01676830.2011.605506. Epub 2012 Jun 8.","Ely A","Orbit","2012","2012/06/12","","","10.3109/01676830.2011.605506"
"23663138","NK/T-cell lymphoma of the nasal cavity causing contralateral dacryoadenitis","Luemsamran P, Pornpanich K, Uiprasertkul M, Sakolsatayadorn N, Vangveeravong S.","Orbit. 2013 Aug;32(4):250-2. doi: 10.3109/01676830.2013.788665. Epub 2013 May 10.","Luemsamran P","Orbit","2013","2013/05/14","","","10.3109/01676830.2013.788665"
"14983503","Major histocompatibility antigens and antigen-processing molecules in retinoblastoma","Krishnakumar S, Sundaram A, Abhyankar D, Krishnamurthy V, Shanmugam MP, Gopal L, Sharma T, Biswas J.","Cancer. 2004 Mar 1;100(5):1059-69. doi: 10.1002/cncr.20062.","Krishnakumar S","Cancer","2004","2004/02/26","","","10.1002/cncr.20062"
"28194321","Extranodal natural killer/T-cell lymphoma presenting as orbital cellulitis","Zuhaimy H, Aziz HA, Vasudevan S, Hui Hui S.","GMS Ophthalmol Cases. 2017 Feb 6;7:Doc04. doi: 10.3205/oc000055. eCollection 2017.","Zuhaimy H","GMS Ophthalmol Cases","2017","2017/02/15","PMC5296617","","10.3205/oc000055"
"29798121","[Clinicopathologic analysis of extranodal non-hodgkin lymphoma of the sinonasal cavities: a 15-case report]","Zhang YH, Duan QC, Zuo Q, Du C, Xie LF, Zhu L.","Lin Chung Er Bi Yan Hou Tou Jing Wai Ke Za Zhi. 2017 Nov 5;31(21):1653-1657. doi: 10.13201/j.issn.1001-1781.2017.21.008.","Zhang YH","Lin Chung Er Bi Yan Hou Tou Jing Wai Ke Za Zhi","2017","2018/05/26","","","10.13201/j.issn.1001-1781.2017.21.008"
"26207490","Spin Hall Effect in Disordered Organic Solids","Yu ZG.","Phys Rev Lett. 2015 Jul 10;115(2):026601. doi: 10.1103/PhysRevLett.115.026601. Epub 2015 Jul 6.","Yu ZG","Phys Rev Lett","2015","2015/07/25","","","10.1103/PhysRevLett.115.026601"
"10555004","Sinonasal lymphoma: a clinicopathologic analysis of 58 cases from the Massachusetts General Hospital","Cuadra-Garcia I, Proulx GM, Wu CL, Wang CC, Pilch BZ, Harris NL, Ferry JA.","Am J Surg Pathol. 1999 Nov;23(11):1356-69. doi: 10.1097/00000478-199911000-00006.","Cuadra-Garcia I","Am J Surg Pathol","1999","1999/11/11","","","10.1097/00000478-199911000-00006"
"29703034","Usefulness of 18F-FDG PET/CT for evaluating response of ocular adnexal lymphoma to treatment","Fujii H, Tanaka H, Nomoto Y, Harata N, Oota S, Isogai J, Yoshida K.","Medicine (Baltimore). 2018 Apr;97(17):e0543. doi: 10.1097/MD.0000000000010543.","Fujii H","Medicine (Baltimore)","2018","2018/04/29","PMC5944548","","10.1097/MD.0000000000010543"
"24332692","Orbital involvement by non-Hodgkin lymphoma NK T cells","Hervás-Ontiveros A, España-Gregori E, Hernández-Martínez P, Vera-Sempere FJ, Díaz-Llopis M.","Arch Soc Esp Oftalmol. 2014 Nov;89(11):450-3. doi: 10.1016/j.oftal.2013.10.006. Epub 2013 Dec 12.","Hervás-Ontiveros A","Arch Soc Esp Oftalmol","2014","2013/12/17","","","10.1016/j.oftal.2013.10.006"
"18346354","[Abnormal expression of bcl-10 protein in extranodal marginal zone B cell lymphoma of mucosa-associated lymphoid tissue lymphoma type]","Li BZ, Zhou XY, Ye HT, Yang WT, Fan YZ, Lu HF, Shi DR.","Zhonghua Bing Li Xue Za Zhi. 2007 Dec;36(12):819-24.","Li BZ","Zhonghua Bing Li Xue Za Zhi","2007","2008/03/19","","",""
"24621697","Extranodal natural killer/T-cell lymphoma, nasal type, of the orbit mimicking recurrent orbital cellulitis","Kim JW, An JH.","J Craniofac Surg. 2014 Mar;25(2):509-11. doi: 10.1097/SCS.0000000000000677.","Kim JW","J Craniofac Surg","2014","2014/03/14","","","10.1097/SCS.0000000000000677"
"30516405","Recurrent natural killer/T-cell lymphoma of the lacrimal sac and nasolacrimal duct in a 59-year-old Caucasian woman","Jones DL, van Landingham SW, Yu JJ, Lucarelli MJ.","Orbit. 2019 Oct;38(5):428-431. doi: 10.1080/01676830.2018.1546750. Epub 2018 Dec 5.","Jones DL","Orbit","2019","2018/12/06","","","10.1080/01676830.2018.1546750"
"12749009","Clinicopathologic analysis of ocular adnexal lymphomas: extranodal marginal zone b-cell lymphoma constitutes the vast majority of ocular lymphomas among Koreans and affects younger patients","Cho EY, Han JJ, Ree HJ, Ko YH, Kang YK, Ahn HS, Ahn SD, Park CJ, Huh J.","Am J Hematol. 2003 Jun;73(2):87-96. doi: 10.1002/ajh.10332.","Cho EY","Am J Hematol","2003","2003/05/16","","","10.1002/ajh.10332"
"28146362","Epiphora as first presenting sign of primary extranodal NK/T-cell lymphoma of the lacrimal sac","Mikhail M, Michel RP, Chankowsky J, Arthurs B.","Orbit. 2017 Feb;36(1):19-21. doi: 10.1080/01676830.2017.1279649. Epub 2017 Feb 1.","Mikhail M","Orbit","2017","2017/02/02","","","10.1080/01676830.2017.1279649"
"24597982","Extranodal natural killer/T cell lymphomas with extranasal disease in non-endemic regions are disseminated or have nasal primary: a study of 84 cases from India","Shet T, Suryawanshi P, Epari S, Sengar M, Rangarajan V, Menon H, Laskar S.","Leuk Lymphoma. 2014 Dec;55(12):2748-53. doi: 10.3109/10428194.2014.894188. Epub 2014 Apr 3.","Shet T","Leuk Lymphoma","2014","2014/03/07","","","10.3109/10428194.2014.894188"
"22545391","The simultaneous appearance of a nasal natural killer-cell lymphoma and acute myelogenous leukemia","Van Crombrugge L, De Vos G, Vanclooster C, Lemmerling M, Kerre T.","B-ENT. 2012;8(1):49-52.","Van Crombrugge L","B-ENT","2012","2012/05/02","","",""
"16191803","A rapidly fatal case of T-cell lymphoma presenting as idiopathic orbital inflammation","Papalkar D, Sharma S, Francis IC, Downie JA, Thanakrishnan G, Hughes LJ.","Orbit. 2005 Jun;24(2):131-3. doi: 10.1080/01676830490916064.","Papalkar D","Orbit","2005","2005/09/30","","","10.1080/01676830490916064"
"7531401","Interleukin-2 receptor beta and CD57 expression in orbital tissues from patients with chronic, stable thyroid-associated ophthalmopathy","Rosen CE, Rizzuto PR, Kennerdell JS, Burde RM, Wall JR.","Alaska Med. 1994 Oct-Dec;36(4):177-82, 207.","Rosen CE","Alaska Med","1994","1994/10/01","","",""
"18347456","Third cranial nerve palsy caused by intracranial extension of a sino-orbital natural killer T-cell lymphoma","Chen CS, Miller NR, Lane A, Eberhart C.","J Neuroophthalmol. 2008 Mar;28(1):31-5. doi: 10.1097/WNO.0b013e3181674228.","Chen CS","J Neuroophthalmol","2008","2008/03/19","","","10.1097/WNO.0b013e3181674228"
"8852033","[Rapidly progressive T-cell angiocentric lymphoma with CD56+ phenotype involving bilateral orbits and skin in a patient with anti-HTLV-I antibody]","Kato K, Matsuguchi T, Ishimaru T, Goto H, Nakano Y, Fukumoto T, Takeshita M.","Rinsho Ketsueki. 1996 Feb;37(2):145-51.","Kato K","Rinsho Ketsueki","1996","1996/02/01","","",""
