PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32956336","Natural Killer (NK)//T-Cell Lymphoma, Nasal Type, with Periorbital Involvement: A Case Report and Literature Review","Lisowska G, Zięba N, Stryjewska-Makuch G, Ścierski W, Miśkiewicz-Orczyk K, Misiołek M.","Am J Case Rep. 2020 Sep 21;21:e926599. doi: 10.12659/AJCR.926599.","Lisowska G","Am J Case Rep","2020","2020/09/21","PMC7520134","","10.12659/AJCR.926599"
"33975510","Natural killer T-cell lymphoma causing bilateral recurrent recalcitrant dacryocystitis","Mechel E, Tran AQ, North VS, Moen FM, Tooley AA.","Orbit. 2021 May 11:1-5. doi: 10.1080/01676830.2021.1925931. Online ahead of print.","Mechel E","Orbit","2021","2021/05/12","","","10.1080/01676830.2021.1925931"
"29706604","Clinical characteristics and treatment outcomes of natural killer/T-cell lymphoma involving the ocular adnexa","Lee GI, Kim YD, Young SM, Shin S, Woo KI.","Br J Ophthalmol. 2019 Feb;103(2):269-273. doi: 10.1136/bjophthalmol-2017-311704. Epub 2018 Apr 29.","Lee GI","Br J Ophthalmol","2019","2018/05/01","","","10.1136/bjophthalmol-2017-311704"
"24831171","Series of extranodal natural killer/T-cell lymphoma, nasal type, with periorbital involvement","Termote K, Dierickx D, Verhoef G, Jorissen M, Tousseyn T, Mombaerts I.","Orbit. 2014 Aug;33(4):245-51. doi: 10.3109/01676830.2014.902478. Epub 2014 May 15.","Termote K","Orbit","2014","2014/05/17","","","10.3109/01676830.2014.902478"
"27932776","Nasal Type Extranodal Natural Killer/T (NK/T) Cell Lymphoma Presenting as Periorbital Cellulitis: A Case Report","Al Shawabkeh MA, Al Sulaiti M, Al Sa'ey H, Ganesan S.","Am J Case Rep. 2016 Dec 9;17:934-938. doi: 10.12659/ajcr.899922.","Al Shawabkeh MA","Am J Case Rep","2016","2016/12/10","PMC5153321","","10.12659/ajcr.899922"
"33381187","A Great Masquerader: Nasal Type, Extranodal Natural Killer/T-cell Lymphoma Presenting as Recalcitrant Bacterial Sinusitis and Periorbital Cellulitis","Min Z, Bhanot N.","Case Rep Med. 2020 Dec 15;2020:6646693. doi: 10.1155/2020/6646693. eCollection 2020.","Min Z","Case Rep Med","2020","2020/12/31","PMC7758142","","10.1155/2020/6646693"
"33795266","Nasal-type extranodal NK/T-cell lymphoma presenting as recurrent periorbital cellulitis","Hussein MA, Boyle S, Abdulrahman S, Fennessy B.","BMJ Case Rep. 2021 Apr 1;14(4):e238113. doi: 10.1136/bcr-2020-238113.","Hussein MA","BMJ Case Rep","2021","2021/04/02","PMC8021499","","10.1136/bcr-2020-238113"
"28194321","Extranodal natural killer/T-cell lymphoma presenting as orbital cellulitis","Zuhaimy H, Aziz HA, Vasudevan S, Hui Hui S.","GMS Ophthalmol Cases. 2017 Feb 6;7:Doc04. doi: 10.3205/oc000055. eCollection 2017.","Zuhaimy H","GMS Ophthalmol Cases","2017","2017/02/15","PMC5296617","","10.3205/oc000055"
"19360743","Extranodal nasal-type natural killer/T-cell lymphoma masquerading as recalcitrant sinusitis","Paik YS, Liess BD, Scheidt TD, Ingram EA, Zitsch RP 3rd.","Head Neck. 2010 Feb;32(2):268-73. doi: 10.1002/hed.21068.","Paik YS","Head Neck","2010","2009/04/11","","","10.1002/hed.21068"
"21294428","NK/T cell lymphoma, nasal type with sinonasal mass and palatal ulcer: a clinical case report and review of treatment","Kanitsap N, Warnnissorn N.","J Med Assoc Thai. 2010 Dec;93 Suppl 7:S294-8.","Kanitsap N","J Med Assoc Thai","2010","2011/02/08","","",""
"24317101","An aggressive primary orbital natural killer/T-cell lymphoma case: poor response to chemotherapy","Marchino T, Ibáñez N, Prieto S, Novelli S, Szafranska J, Mozos A, Graell X, Buil JA.","Ophthalmic Plast Reconstr Surg. 2014 Sep-Oct;30(5):e131-4. doi: 10.1097/IOP.0b013e3182a65026.","Marchino T","Ophthalmic Plast Reconstr Surg","2014","2013/12/10","","","10.1097/IOP.0b013e3182a65026"
