PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"22681504","Orbital involvement in extranodal natural killer T cell lymphoma: an atypical case presentation and review of the literature","Ely A, Evans J, Sundstrom JM, Malysz J, Specht CS, Wilkinson M.","Orbit. 2012 Aug;31(4):267-9. doi: 10.3109/01676830.2011.605506. Epub 2012 Jun 8.","Ely A","Orbit","2012","2012/06/12","","","10.3109/01676830.2011.605506"
"32509082","Aggressive natural killer/T-cell lymphoma masquerading as acute orbital hemorrhage: a case report","Zhang J, Chen H, Lin W, Wu Z.","Int J Clin Exp Pathol. 2020 May 1;13(5):1081-1085. eCollection 2020.","Zhang J","Int J Clin Exp Pathol","2020","2020/06/09","PMC7270658","",""
"31137150","[Ocular natural killer/T cell lymphoma: a clinicopathologic analysis]","Bi YW, Wang SY, Qian J, Yuan YF, Li XQ, Zhu XZ.","Zhonghua Yan Ke Za Zhi. 2019 May 11;55(5):374-380. doi: 10.3760/cma.j.issn.0412-4081.2019.05.012.","Bi YW","Zhonghua Yan Ke Za Zhi","2019","2019/05/29","","","10.3760/cma.j.issn.0412-4081.2019.05.012"
"24398482","Orbital and central nervous system extension of nasal natural killer/T-cell lymphoma","Cruz AA, Valera FC, Carenzi L, Chahud F, Barros GE, Elias J Jr.","Ophthalmic Plast Reconstr Surg. 2014 Jan-Feb;30(1):20-3. doi: 10.1097/IOP.0b013e3182a7500e.","Cruz AA","Ophthalmic Plast Reconstr Surg","2014","2014/01/09","","","10.1097/IOP.0b013e3182a7500e"
"28194321","Extranodal natural killer/T-cell lymphoma presenting as orbital cellulitis","Zuhaimy H, Aziz HA, Vasudevan S, Hui Hui S.","GMS Ophthalmol Cases. 2017 Feb 6;7:Doc04. doi: 10.3205/oc000055. eCollection 2017.","Zuhaimy H","GMS Ophthalmol Cases","2017","2017/02/15","PMC5296617","","10.3205/oc000055"
"27740876","Natural Killer T-Cell Lymphoma of the Orbit: An Evidence-Based Approach","Jiménez-Pérez JC, Yoon MK.","Semin Ophthalmol. 2017;32(1):116-124. doi: 10.1080/08820538.2016.1228405. Epub 2016 Oct 14.","Jiménez-Pérez JC","Semin Ophthalmol","2017","2016/10/15","","","10.1080/08820538.2016.1228405"
"29706604","Clinical characteristics and treatment outcomes of natural killer/T-cell lymphoma involving the ocular adnexa","Lee GI, Kim YD, Young SM, Shin S, Woo KI.","Br J Ophthalmol. 2019 Feb;103(2):269-273. doi: 10.1136/bjophthalmol-2017-311704. Epub 2018 Apr 29.","Lee GI","Br J Ophthalmol","2019","2018/05/01","","","10.1136/bjophthalmol-2017-311704"
"30865070","Orbital Nasal-Type Extranodal Natural Killer/T-Cell Lymphoma: An Ongoing Diagnostic Challenge Further Confounded by Small-Cell Predominance","Wolkow N, Jakobiec FA, Habib LA, Freitag SK.","Ophthalmic Plast Reconstr Surg. 2019 Sep/Oct;35(5):478-483. doi: 10.1097/IOP.0000000000001333.","Wolkow N","Ophthalmic Plast Reconstr Surg","2019","2019/03/14","","","10.1097/IOP.0000000000001333"
"22991988","Nasopharyngeal/nasal type NK/T lymphoma: analysis of 23 cases and current review of the literature","Youssef YB, Bougmiza I, Bouabid Z, Achour B, Regaieg H, Sriha B, Belkadhi M, Omri HE, Khelif A.","Kulak Burun Bogaz Ihtis Derg. 2012 Sep-Oct;22(5):275-83. doi: 10.5606/kbbihtisas.2012.053.","Youssef YB","Kulak Burun Bogaz Ihtis Derg","2012","2012/09/21","","","10.5606/kbbihtisas.2012.053"
"29978138","A case of primary extranodal natural killer/T-cell lymphoma in the orbit and intraocular tissues with cerebrospinal fluid involvement","Okada A, Harada Y, Inoue T, Okikawa Y, Ichinohe T, Kiuchi Y.","Am J Ophthalmol Case Rep. 2018 May 17;11:37-40. doi: 10.1016/j.ajoc.2018.05.002. eCollection 2018 Sep.","Okada A","Am J Ophthalmol Case Rep","2018","2018/07/07","PMC6026719","","10.1016/j.ajoc.2018.05.002"
"32562035","Differential diagnosis of sinonasal extranodal NK/T cell lymphoma and diffuse large B cell lymphoma on MRI","Chen Y, Wang X, Li L, Li W, Xian J.","Neuroradiology. 2020 Sep;62(9):1149-1155. doi: 10.1007/s00234-020-02471-3. Epub 2020 Jun 19.","Chen Y","Neuroradiology","2020","2020/06/21","PMC7410867","","10.1007/s00234-020-02471-3"
"30516405","Recurrent natural killer/T-cell lymphoma of the lacrimal sac and nasolacrimal duct in a 59-year-old Caucasian woman","Jones DL, van Landingham SW, Yu JJ, Lucarelli MJ.","Orbit. 2019 Oct;38(5):428-431. doi: 10.1080/01676830.2018.1546750. Epub 2018 Dec 5.","Jones DL","Orbit","2019","2018/12/06","","","10.1080/01676830.2018.1546750"
"24621697","Extranodal natural killer/T-cell lymphoma, nasal type, of the orbit mimicking recurrent orbital cellulitis","Kim JW, An JH.","J Craniofac Surg. 2014 Mar;25(2):509-11. doi: 10.1097/SCS.0000000000000677.","Kim JW","J Craniofac Surg","2014","2014/03/14","","","10.1097/SCS.0000000000000677"
"35288498","Orbital Compartment Syndrome Following Incisional Biopsy of Orbital Natural Killer/T-Cell Lymphoma","Takahashi Y, Vaidya A, Kakizaki H.","J Craniofac Surg. 2022 Mar 14. doi: 10.1097/SCS.0000000000008581. Online ahead of print.","Takahashi Y","J Craniofac Surg","2022","2022/03/15","","","10.1097/SCS.0000000000008581"
"28855986","Treatment of relapsed extranodal natural killer/T-cell lymphoma with bortezomib plus fludarabine","Chen C, He H.","Mol Clin Oncol. 2017 Oct;7(4):525-528. doi: 10.3892/mco.2017.1364. Epub 2017 Aug 4.","Chen C","Mol Clin Oncol","2017","2017/09/01","PMC5574062","","10.3892/mco.2017.1364"
"16360212","Natural killer/T-cell lymphoma with ocular and adnexal involvement","Woog JJ, Kim YD, Yeatts RP, Kim S, Esmaeli B, Kikkawa D, Lee HB, Korn BS, Punja K, Habermann TM, Colgan JP, Salomao D, Cameron JD.","Ophthalmology. 2006 Jan;113(1):140-7. doi: 10.1016/j.ophtha.2005.09.036. Epub 2005 Dec 19.","Woog JJ","Ophthalmology","2006","2005/12/20","","","10.1016/j.ophtha.2005.09.036"
"24317101","An aggressive primary orbital natural killer/T-cell lymphoma case: poor response to chemotherapy","Marchino T, Ibáñez N, Prieto S, Novelli S, Szafranska J, Mozos A, Graell X, Buil JA.","Ophthalmic Plast Reconstr Surg. 2014 Sep-Oct;30(5):e131-4. doi: 10.1097/IOP.0b013e3182a65026.","Marchino T","Ophthalmic Plast Reconstr Surg","2014","2013/12/10","","","10.1097/IOP.0b013e3182a65026"
"18356722","Natural killer/T-cell lymphoma masquerading as orbital cellulitis","Charton J, Witherspoon SR, Itani K, Jones FR, Marple B, Morse B.","Ophthalmic Plast Reconstr Surg. 2008 Mar-Apr;24(2):143-5. doi: 10.1097/IOP.0b013e3181659867.","Charton J","Ophthalmic Plast Reconstr Surg","2008","2008/03/22","","","10.1097/IOP.0b013e3181659867"
"21438737","Rapidly fatal nasal natural killer/T-cell lymphoma: orbital and ocular adnexal presentations","Yousuf SJ, Kumar N, Kidwell ED Jr, Copeland RA Jr.","Orbit. 2011 Mar;30(2):120-1. doi: 10.3109/01676830.2010.546933.","Yousuf SJ","Orbit","2011","2011/03/29","","","10.3109/01676830.2010.546933"
"17700233","Lymphoproliferative disease of the orbit","Bernardini FP, Bazzan M.","Curr Opin Ophthalmol. 2007 Sep;18(5):398-401. doi: 10.1097/ICU.0b013e3282be8fbb.","Bernardini FP","Curr Opin Ophthalmol","2007","2007/08/19","","","10.1097/ICU.0b013e3282be8fbb"
"18510242","[Clinicopathologic observation of orbital natural killer-T cell lymphoma]","Luo QL, He WM, Tang L, Liao YC, Yang YL.","Zhonghua Yan Ke Za Zhi. 2008 Jan;44(1):42-5.","Luo QL","Zhonghua Yan Ke Za Zhi","2008","2008/05/31","","",""
"24831171","Series of extranodal natural killer/T-cell lymphoma, nasal type, with periorbital involvement","Termote K, Dierickx D, Verhoef G, Jorissen M, Tousseyn T, Mombaerts I.","Orbit. 2014 Aug;33(4):245-51. doi: 10.3109/01676830.2014.902478. Epub 2014 May 15.","Termote K","Orbit","2014","2014/05/17","","","10.3109/01676830.2014.902478"
"30082537","A Rapidly Progressing Fatal Case of Natural Killer/T-Cell Lymphoma Presenting as Orbital Inflammation","Tang GM, Chang TC, Tu X, Zhou GY, Liu ZZ.","Chin Med J (Engl). 2018 Aug 20;131(16):2013-2014. doi: 10.4103/0366-6999.238146.","Tang GM","Chin Med J (Engl)","2018","2018/08/08","PMC6085863","","10.4103/0366-6999.238146"
"28328558","Dacryoadenitis as the Initial Presentation of a Natural Killer T-Cell Lymphoma","Jiménez-Pérez JC, Jakobiec FA, Zakka FR, Yoon MK.","Ophthalmic Plast Reconstr Surg. 2017 Nov/Dec;33(6):e147-e150. doi: 10.1097/IOP.0000000000000889.","Jiménez-Pérez JC","Ophthalmic Plast Reconstr Surg","2017","2017/03/23","","","10.1097/IOP.0000000000000889"
"17440279","Primary ocular natural killer/T-cell lymphomas: clinicopathologic features and diagnosis","Yang Y, Luo Q, He W, Tang L.","Ophthalmologica. 2007;221(3):173-9. doi: 10.1159/000099297.","Yang Y","Ophthalmologica","2007","2007/04/19","","","10.1159/000099297"
"27932776","Nasal Type Extranodal Natural Killer/T (NK/T) Cell Lymphoma Presenting as Periorbital Cellulitis: A Case Report","Al Shawabkeh MA, Al Sulaiti M, Al Sa'ey H, Ganesan S.","Am J Case Rep. 2016 Dec 9;17:934-938. doi: 10.12659/ajcr.899922.","Al Shawabkeh MA","Am J Case Rep","2016","2016/12/10","PMC5153321","","10.12659/ajcr.899922"
"22800846","Natural killer T-cell lymphoma originating from the orbit","Dai W, Zhong M, Shen W, Zou K, Bai CG.","Chin Med J (Engl). 2012 May;125(9):1677-80.","Dai W","Chin Med J (Engl)","2012","2012/07/18","","",""
"19360743","Extranodal nasal-type natural killer/T-cell lymphoma masquerading as recalcitrant sinusitis","Paik YS, Liess BD, Scheidt TD, Ingram EA, Zitsch RP 3rd.","Head Neck. 2010 Feb;32(2):268-73. doi: 10.1002/hed.21068.","Paik YS","Head Neck","2010","2009/04/11","","","10.1002/hed.21068"
"24332692","Orbital involvement by non-Hodgkin lymphoma NK T cells","Hervás-Ontiveros A, España-Gregori E, Hernández-Martínez P, Vera-Sempere FJ, Díaz-Llopis M.","Arch Soc Esp Oftalmol. 2014 Nov;89(11):450-3. doi: 10.1016/j.oftal.2013.10.006. Epub 2013 Dec 12.","Hervás-Ontiveros A","Arch Soc Esp Oftalmol","2014","2013/12/17","","","10.1016/j.oftal.2013.10.006"
"28275603","Isolated Extranodal Natural Killer T-Cell Lymphoma of the Orbit in a Young Patient: Complete Regression with the SMILE Regimen","Meel R, Dhiman R, Wadhwani M, Kashyap S, Sharma S, Gogia A.","Ocul Oncol Pathol. 2017 Jan;3(1):45-48. doi: 10.1159/000449227. Epub 2016 Sep 30.","Meel R","Ocul Oncol Pathol","2017","2017/03/10","PMC5318847","","10.1159/000449227"
"22323887","Intraocular involvement of a nasal natural killer T-cell lymphoma: a case report","Yoo JH, Kim SY, Jung KB, Lee JJ, Lee SJ.","Korean J Ophthalmol. 2012 Feb;26(1):54-7. doi: 10.3341/kjo.2012.26.1.54. Epub 2012 Jan 14.","Yoo JH","Korean J Ophthalmol","2012","2012/02/11","PMC3268170","","10.3341/kjo.2012.26.1.54"
"19551687","Acute presentation of nasal-type natural killer/T-cell lymphoma of the orbit","Qin W, Yin Z, Madge SN.","Eur J Ophthalmol. 2009 Jul-Aug;19(4):679-82. doi: 10.1177/112067210901900425.","Qin W","Eur J Ophthalmol","2009","2009/06/25","","","10.1177/112067210901900425"
"23688595","Extranodal lymphomas of head and neck with emphasis on NK/T-cell lymphoma, nasal type","Coha B, Vucinic I, Mahovne I, Vukovic-Arar Z.","J Craniomaxillofac Surg. 2014 Mar;42(2):149-52. doi: 10.1016/j.jcms.2013.04.004. Epub 2013 May 18.","Coha B","J Craniomaxillofac Surg","2014","2013/05/22","","","10.1016/j.jcms.2013.04.004"
"34150783","Case Report: Rhizopus arrhizus Rhino-Orbital-Cerebral Mycosis and Lethal Midline Granuloma: Another Fungal Etiological Agent","Li DM, Lun L, Ge J, Zhang GJ, Li XL, de Hoog GS.","Front Med (Lausanne). 2021 Jun 2;8:578684. doi: 10.3389/fmed.2021.578684. eCollection 2021.","Li DM","Front Med (Lausanne)","2021","2021/06/21","PMC8208083","","10.3389/fmed.2021.578684"
"18347456","Third cranial nerve palsy caused by intracranial extension of a sino-orbital natural killer T-cell lymphoma","Chen CS, Miller NR, Lane A, Eberhart C.","J Neuroophthalmol. 2008 Mar;28(1):31-5. doi: 10.1097/WNO.0b013e3181674228.","Chen CS","J Neuroophthalmol","2008","2008/03/19","","","10.1097/WNO.0b013e3181674228"
"32982337","Chronic Invasive Fungal Rhinosinusitis with Atypical Clinical Presentation in an Immunocompromised Patient","Kawaji-Kanayama Y, Nishimura A, Yasuda M, Sakiyama E, Shimura Y, Tsukamoto T, Kobayashi T, Mizutani S, Okamoto S, Ohmura G, Hirano S, Konishi E, Shibuya K, Kuroda J.","Infect Drug Resist. 2020 Sep 18;13:3225-3232. doi: 10.2147/IDR.S273317. eCollection 2020.","Kawaji-Kanayama Y","Infect Drug Resist","2020","2020/09/28","PMC7509339","","10.2147/IDR.S273317"
"29944561","Combined External, Endoscopic, Endonasal-Assisted En Bloc Resection of Malignant Tumors From the Lacrimal Drainage System","Shi J, Tu Y, Wu W.","J Craniofac Surg. 2018 Oct;29(7):1855-1858. doi: 10.1097/SCS.0000000000004655.","Shi J","J Craniofac Surg","2018","2018/06/27","","","10.1097/SCS.0000000000004655"
"26080911","[Features of clinical presentation, pathology and magnetic resonance or computed tomography imaging for ocular lymphoma]","Guo P, Xian J, Chen G, Liang X, Yang B, Wang Z, Yan F.","Zhonghua Yi Xue Za Zhi. 2015 Mar 24;95(11):814-8.","Guo P","Zhonghua Yi Xue Za Zhi","2015","2015/06/18","","",""
"31016077","Ocular Infiltration as the Only Relapse Sign of Atypical Lymphoma Under Chemotherapy: A Case Report","Alqurashi L, Alqahtani A.","Cureus. 2019 Feb 11;11(2):e4049. doi: 10.7759/cureus.4049.","Alqurashi L","Cureus","2019","2019/04/25","PMC6464489","","10.7759/cureus.4049"
"16156921","Orbital cellulitis or lymphoma? A diagnostic challenge","Salam A, Saldana M, Zaman N.","J Laryngol Otol. 2005 Sep;119(9):740-2. doi: 10.1258/0022215054797880.","Salam A","J Laryngol Otol","2005","2005/09/15","","","10.1258/0022215054797880"
